input_name,output_name
A.G.P./Alliance Global Partners,A.G.P./Alliance Global Partners
ABN AMRO Securities (USA) LLC,ABN AMRO Securities (USA) LLC
ABN AMRO Securities (USA)LLC,ABN AMRO Securities (USA) LLC
Academy Securities Inc.,Academy Securities Inc.
Aegis Capital Corp.,Aegis Capital Corp
Aegis Capital Corp,Aegis Capital Corp
Aegis Capital Corp.,Aegis Capital Corp
Aegis Capital Corporation,Aegis Capital Corp
Aegis CapitalCorp,Aegis Capital Corp
Aegis CapitalCorp.,Aegis Capital Corp
Allen & Company LLC,Allen & Company LLC
Allen & Company LLC.,Allen & Company LLC
Allen & CompanyLLC,Allen & Company LLC
Apollo Global Securities LLC,Apollo Global Securities LLC
Apollo Global SecuritiesLLC,Apollo Global Securities LLC
ApolloGlobalSecurities LLC,Apollo Global Securities LLC
Arcadia Securities LLC,Arcadia Securities LLC
Atonline Limited,Atonline Limited
Avondale Partners LLC,Avondale Partners LLC
Avondale PartnersLLC,Avondale Partners LLC
Axia Capital Markets LLC,Axia Capital Markets LLC
Axiom Capital Management Inc.,Axiom Capital Management Inc.
B. Riley FBR Inc.,B. Riley FBR Inc.
B. Riley & Co.,B. Riley & Co.
B. Riley & Co. LLC,B. Riley & Co.
B. Riley FBR Inc.,B. Riley FBR Inc.
B. Riley FBRInc.,B. Riley FBR Inc.
BB & T Capital Markets a division of BB & T Securities LLC,BB&T Capital Markets
BB & T Capital Markets a division of BB & T SecuritiesLLC,BB&T Capital Markets
BB & T Capital Markets a division of BB & TSecuritiesLLC,BB&T Capital Markets
BB & T Capital Markets a divisionofBB & T Securities LLC,BB&T Capital Markets
BB & TCapitalMarketsadivisionofBB & TSecurities LLC,BB&T Capital Markets
BBVA Banco Continental,BBVA Securities Inc.
BBVA Securities Inc.,BBVA Securities Inc.
BBVA SecuritiesInc.,BBVA Securities Inc.
BDO Capital & Investment Corporation,BDO Capital & Investment Corporation
BHF-BANK Aktiengesellschaft,BHF-BANK Aktiengesellschaft
BMO Capital Markets,BMO Capital Markets
BMO Capital Markets Corp,BMO Capital Markets
BMO Capital Markets Corp.,BMO Capital Markets
BMO Capital MarketsCorp.,BMO Capital Markets
BMOCapital Markets Corp.,BMO Capital Markets
BMONesbitt Burns Inc(1),BMO Capital Markets
BNP Paribas Securities Corp.,BNP Paribas Securities Corp
BNY Mellon Capital Markets LLC,BNY Mellon Capital Markets LLC
BNY Mellon Capital MarketsLLC,BNY Mellon Capital Markets LLC
BOCI Asia Limited,BOCI Asia Limited
BOK Financial Securities Inc.,BOK Financial Securities Inc.
BTG Pactual US Capital LLC,BTG Pactual US Capital LLC
BTIG LLC,BTIG LLC
BTIG LLC,BTIG LLC
BTIGLLC,BTIG LLC
Banca IMI S.p.A,Banca IMI S.p.A
Banca IMI S.p.A.,Banca IMI S.p.A.
Banco BTG Pactual S.A.Cayman Branch,Banco BTG Pactual S.A.Cayman Branch
Banco Bradesco BBI S.A.,Banco Bradesco BBI S.A.
Banco Bradesco BBIS.A.,Banco Bradesco BBI S.A.
Banco Bradesco BBIS.A.(3),Banco Bradesco BBI S.A.
Banco Internacional del Per S.A.A.Interbank,Banco Internacional del Per S.A.A.Interbank
Banco Santander S.A.,Banco Santander S.A.
Banco do Brasil SecuritiesLLC,Banco do Brasil SecuritiesLLC
Bank of Communications Co. Ltd. Macau Branch,Bank of Communications Co. Ltd. Macau Branch
Barclays Capital Inc,Barclays Capital Inc
Barclays Capital Inc.,Barclays Capital Inc
Barclays CapitalInc.,Barclays Capital Inc
Barrington Research Associates Inc.,Barrington Research Associates Inc.
Barrington Research AssociatesInc.,Barrington Research Associates Inc.
Berenberg Capital Markets LLC,Berenberg Capital Markets LLC
Blackstone Advisory Partners L.P.,Blackstone Advisory Partners L.P.
Blackwell Partners LLC Series A,Blackwell Partners LLC Series A
Blaylock Beal Van LLC,Blaylock Beal Van LLC
Blaylock Van LLC,Blaylock Van LLC
Boenning & Scattergood Inc.,Boenning & Scattergood Inc.
BofA Securities Inc.,Merrill Lynch Pierce Fenner & Smith Incorporated
BofA SecuritiesInc.,Merrill Lynch Pierce Fenner & Smith Incorporated
BofASecuritiesInc.,Merrill Lynch Pierce Fenner & Smith Incorporated
Brean Capital LLC,Brean Capital LLC
Bryan Garnier & Co. Limited,Bryan Garnier & Co. Limited
Bryan Garnier & Co...,Bryan Garnier & Co. Limited
C & Co/PrinceRidge LLC,C & Co/PrinceRidge LLC
C.K. Cooper & Company Inc.,C.K. Cooper & Company Inc.
C.L. King & Associates Inc.,C.L. King & Associates Inc.
C.L. King & Associaties Inc.,C.L. King & Associaties Inc.
CIBC World Markets Corp.,CIBC World Markets Inc.
CIBC World Markets Inc.,CIBC World Markets Inc.
CIBC World MarketsCorp.,CIBC World Markets Inc.
CIBCWorld Markets Corp.,CIBC World Markets Inc.
CIM Securities LLC,CIM Securities LLC
CIMB Securities Limited,CIMB Securities Limited
CJS Securities Inc.,CJS Securities Inc.
CLSA Limited,CLSA Limited
CRT Capital Group LLC,Canaccord Genuity Inc.
Canaccord Genuity Inc.,Canaccord Genuity Inc.
Canaccord Genuity Corp.,Canaccord Genuity Inc.
Canaccord Genuity Inc,Canaccord Genuity Inc
Canaccord Genuity Inc.,Canaccord Genuity Inc.
Canaccord Genuity LLC,Canaccord Genuity Inc.
Canaccord Genuity LLC*,Canaccord Genuity Inc.
Canaccord GenuityInc.,Canaccord Genuity Inc.
Cantor Fitzgerald & Co.,Cantor Fitzgerald & Co.
CantorFitzgerald & Co.,Cantor Fitzgerald & Co.
Capital One Securities Inc.,Capital One Securities Inc.
Capital One SecuritiesInc.,Capital One Securities Inc.
Capital One Southcoast Inc.,Capital One Securities Inc.
Capital Ventures International,Capital Ventures International
CastleOak Securities L.P.,CastleOak Securities L.P.
Cathay Securities Corporation Offshore Securities Unit,Cathay Securities Corporation Offshore Securities Unit
Chardan Capital Markets LLC,Chardan Capital Markets LLC
Chardan Capital Markets LLC,Chardan Capital Markets LLC
China Everbright Securities (HK) Limited,China Everbright Securities (HK) Limited
China International Capital Corporation Hong Kong Securities Limited,China International Capital Corporation Hong Kong Securities Limited
China International Capital Corporation HongKong Securities Limited,China International Capital Corporation HongKong Securities Limited
China Merchants Securities (HK) Co. Limited,China Merchants Securities (HK) Co. Ltd.
China Merchants Securities (HK) Co. Ltd.,China Merchants Securities (HK) Co. Ltd.
China Merchants Securities (HK)Co.Ltd.,China Merchants Securities (HK) Co. Ltd.
China Renaissance Securities (Hong Kong) Limited,China Renaissance Securities (Hong Kong) Limited
China Renaissance Securities (HongKong) Limited,China Renaissance Securities (Hong Kong) Limited
Citigroup Global Markets Inc.,Citigroup Global Markets Inc.
Citigroup Global Capital Markets Inc.,Citigroup Global Markets Inc.
Citigroup Global Markets Inc,Citigroup Global Markets Inc.
Citigroup Global Markets Inc.,Citigroup Global Markets Inc.
Citigroup Global MarketsInc.,Citigroup Global Markets Inc.
CitigroupGlobalMarkets Inc.,Citigroup Global Markets Inc.
Citizens Capital Markets Inc.,Citizens Capital Markets Inc.
Clarkson Capital Markets LLC,Clarkson Capital Markets LLC
Clarksons Platou Securities Inc.,Clarksons Platou Securities Inc.
Code Advisors LLC,Code Advisors LLC
Comerica Securities Inc.,Comerica Securities Inc.
Comerica SecuritiesInc.,Comerica Securities Inc.
Common stock options issued and outstanding,Common stock options issued and outstanding
Compass Point Research & Trading LLC,Compass Point Research & Trading LLC
Compass Point Research & TradingLLC,Compass Point Research & Trading LLC
Connaught (UK) Limited,Connaught (UK) Limited
Contribution in kind of the PCPS,Contribution in kind of the PCPS
Conversion of Series A convertible preferred stock,Conversion of Series A convertible preferred stock
Conversion of Series B convertible preferred stock,Conversion of Series B convertible preferred stock
Conversion of Series C convertible preferred stock,Conversion of Series C convertible preferred stock
Conversion of Series D convertible preferred stock,Conversion of Series D convertible preferred stock
Coperatieve Centrale Raiffeisen-Boerenleenbank B.A.,Coperatieve Centrale Raiffeisen-Boerenleenbank B.A.
Cormark Securities (USA) Limited,Cormark Securities (USA) Limited
Cowen and Company,Cowen and Company
Cowen and Company LLC,Cowen and Company
Cowen and CompanyLLC,Cowen and Company
Cowenand Company LLC,Cowen and Company
CowenandCompany LLC,Cowen and Company
Craig-Hallum Capital Group LLC,Craig-Hallum Capital Group LLC
Credicorp Capital Sociedad Agente de BolsaS.A.(4),Credicorp Capital Sociedad Agente de BolsaS.A.(4)
Credit Agricole Securities (USA) Inc.,Credit Agricole Securities (USA) Inc.
Credit Agricole Securities (USA)Inc.,Credit Agricole Securities (USA) Inc.
Credit Suisse Securities (USA) L.L.C.,Credit Suisse Securities (USA) LLC
Credit Suisse Securities (USA) LLC,Credit Suisse Securities (USA) LLC
Credit Suisse Securities (USA) LLC and Credit Suisse Securities (Canada) LLC,Credit Suisse Securities (USA) LLC
Credit Suisse Securities (USA)LLC,Credit Suisse Securities (USA) LLC
Credit Suisse Securities(USA)LLC,Credit Suisse Securities (USA) LLC
Cuttone & Co. Inc.,Cuttone & Co. Inc.
Cuttone & Co. Inc.,Cuttone & Co. Inc.
D.A. Davidson & Co.,D.A. Davidson & Co.
D.A. Davidson & Co.,D.A. Davidson & Co.
null,null
DAFNA LifeScience Market Neutral L.P.,DAFNA LifeScience L.P.
DAFNA LifeScience Select L.P.,DAFNA LifeScience L.P.
DAFNA Lifescience LP,DAFNA LifeScience L.P.
DAFNA Lifescience Market Neutral LP,DAFNA LifeScience L.P.
DAFNA Lifescience Select LP,DAFNA LifeScience L.P.
DBS Bank Ltd.,DBS Bank Ltd.
DNB Markets Inc.,DNB Markets Inc.
DNB MarketsInc.,DNB MarketsInc.
DVB Capital Markets LLC,DVB Capital Markets LLC
Daiwa Capital Markets AmericaInc.,Daiwa Capital Markets AmericaInc.
Danske Markets Inc.,Danske Markets Inc.
Dawson James Securities Inc.,Dawson James Securities Inc.
Deutsche Bank Securities,Deutsche Bank Securities
Deutsche Bank Securities Inc,Deutsche Bank Securities
Deutsche Bank Securities Inc.,Deutsche Bank Securities
Deutsche Bank Securities Inc.*,Deutsche Bank Securities
Deutsche Bank SecuritiesInc.,Deutsche Bank Securities
DeutscheBankSecurities Inc.,Deutsche Bank Securities
Dominick & Dominick LLC,Dominick & Dominick LLC
Dowling & Partners Securities LLC,Dowling & Partners Securities LLC
Dowling & Partners SecuritiesLLC,Dowling & Partners Securities LLC
Drexel Hamilton LLC,Drexel Hamilton LLC
Drexel Hamilton LLC.,Drexel Hamilton LLC
DrexelHamilton LLC,Drexel Hamilton LLC
EA Markets Securities LLC,EA Markets Securities LLC
Early exercised common stock subject to future vesting,Early exercised common stock subject to future vesting
EarlyBirdCapital Inc.,EarlyBirdCapital Inc.
Equity compensation plans not approved by stockholders Directors Compensation Plan 2008 Equity Incentive Plan,Equity compensation plans not approved by stockholders Directors Compensation Plan 2008 Equity Incentive Plan
Evercore Group L.L.C,Evercore Group LLC
Evercore Group L.L.C.,Evercore Group LLC
Evercore Group LLC,Evercore Group LLC
Evercore GroupL.L.C.,Evercore Group LLC
Exercise Conversion Option Convertible Note 2018,Exercise Conversion Option Convertible Note 2018
FBR Capital Markets & Co,FBR Capital Markets & Co
FBR Capital Markets & Co.,FBR Capital Markets & Co
FBR Capital Markets & Co. (FBR),FBR Capital Markets & Co
FBRCapitalMarkets & Co.,FBR Capital Markets & Co
Fearnley Securities AS,Fearnley Securities AS
Feltl and Company Inc.,Feltl and Company Inc.
Fifth Third Securities Inc.,Fifth Third Securities Inc.
First Analysis Securities Corporation,First Analysis Securities Corporation
First Capital Increase,First Capital Increase
Foros Securities LLC,Foros Securities LLC
Franklin Strategic Series Franklin Biotechnology Discovery Fund,Franklin Strategic Series Franklin Biotechnology Discovery Fund
Franklin Templeton Investment Funds Franklin Biotechnology Discovery Fund,Franklin Templeton Investment Funds Franklin Biotechnology Discovery Fund
Freeman & Co. Securities LLC,Freeman & Co. Securities LLC
Global Hunter Securities,Global Hunter Securities
Global Hunter Securities LLC,Global Hunter Securities
Goldman Sachs& Co.,Goldman Sachs & Co
Goldman Sachs & Co,Goldman Sachs & Co
Goldman Sachs & Co.,Goldman Sachs & Co
Goldman Sachs & Co. LLC,Goldman Sachs & Co
Goldman Sachs & Co..,Goldman Sachs & Co
Goldman Sachs & Co.LLC,Goldman Sachs & Co
Goldman Sachs (Asia) L.L.C.,Goldman Sachs & Co
Goldman Sachs (Asia) L.L.C.*,Goldman Sachs & Co
Goldman Sachs& Co. LLC,Goldman Sachs & Co
GoldmanSachs & Co.,Goldman Sachs & Co
GoldmanSachs & Co.LLC,Goldman Sachs & Co
Great Pacific Securities,Great Pacific Securities
Growth Equity Opportunities Fund IV LLC,Growth Equity Opportunities Fund IV LLC
Guggenheim Securities LLC,Guggenheim Securities LLC
Guggenheim SecuritiesLLC,Guggenheim Securities LLC
H.C. Wainwright & Co. LLC,H.C. Wainwright & Co. LLC
H.C.Wainwright & Co.LLC,H.C. Wainwright & Co. LLC
HSBC Securities (USA) Inc.,HSBC Securities (USA) Inc.
HSBC Securities (USA)Inc.,HSBC Securities (USA) Inc.
Haitong International Securities Company Limited,Haitong International Securities Company Limited
Halliday Financial LLC,Halliday Financial LLC
Height Securities LLC,Height Securities LLC
Houlihan Lokey Capital Inc.,Houlihan Lokey Capital Inc.
Houlihan Lokey CapitalInc.,Houlihan Lokey Capital Inc.
Hovde Group LLC,Hovde Group LLC
I-Bankers Securities Inc.,I-Bankers Securities Inc.
I-Bankers Securities Inc.,I-Bankers Securities Inc.
I-Bankers SecuritiesInc.,I-Bankers Securities Inc.
IBERIA Capital Partners L.L.C.,IBERIA Capital Partners L.L.C.
ICBC International Securities Limited*,ICBC International Securities Limited*
IFS Securities Inc.,IFS Securities Inc.
ING Financial Markets LLC,ING Financial Markets LLC
ING Financial MarketsLLC,ING Financial Markets LLC
Imperial Capital LLC,Imperial Capital LLC
Imperial CapitalLLC,Imperial Capital LLC
Income on financial assets,Income on financial assets
Ingalls & Snyder LLC,Ingalls & Snyder LLC
Intrepid Partners LLC,Intrepid Partners LLC
Itau BBA USA Securities Inc.,Itau BBA USA Securities Inc.
J & EDavy,J & EDavy
J.J.B. Hilliard W.L. Lyons LLC,J.J.B. Hilliard W.L. Lyons LLC
J.J.B. Hilliard W.L. LyonsLLC,J.J.B. Hilliard W.L. Lyons LLC
J.P. Morgan Securities Inc.,JP Morgan Securities Inc.
J.P. Morgan Securities LLC,JP Morgan Securities Inc.
J.P. Morgan Securities LLC.,JP Morgan Securities Inc.
J.P. Morgan SecuritiesLLC,JP Morgan Securities Inc.
J.P. Turner & Company LLC,JP Morgan Securities Inc.
J.P.Morgan Securities LLC,JP Morgan Securities Inc.
J.P.Morgan SecuritiesLLC,JP Morgan Securities Inc.
J.P.MorganSecuritiesLLC,JP Morgan Securities Inc.
JMP Securities LLC,JMP Securities LLC
JMP SecuritiesLLC,JMP Securities LLC
JMPSecuritiesLLC,JMP Securities LLC
JVB FinancialGroup LLC,JVB FinancialGroup LLC
Janney Montgomery Scott LLC,Janney Montgomery Scott LLC
Janney Montgomery ScottLLC,Janney Montgomery Scott LLC
Jefferies & Company Inc.,Jefferies LLC
Jefferies LLC,Jefferies LLC
Jefferies LLC.,Jefferies LLC
JefferiesLLC,Jefferies LLC
Johnson Rice & Company L.L.C.,Johnson Rice & Company L.L.C.
